GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Category,com.sample.category.web.rest,CategoryResource,0,131,0,4,0,26,0,8,0,6
Category,com.sample.category.service.mapper,CategoryMapperImpl,62,43,10,2,16,13,8,3,2,3
Category,com.sample.category.service.mapper,CategoryMapper,13,0,2,0,5,0,2,0,1,0
Category,com.sample.category.config.audit,AuditEventConverter,121,3,16,0,28,1,12,1,4,1
Category,com.sample.category.config,LoggingConfiguration,19,55,5,5,3,15,6,1,1,1
Category,com.sample.category.config,WebConfigurer,59,29,7,1,13,9,6,2,2,2
Category,com.sample.category.config,DatabaseConfiguration,40,10,4,0,10,4,4,1,2,1
Category,com.sample.category.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
Category,com.sample.category.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
Category,com.sample.category.config,CloudDatabaseConfiguration,15,0,0,0,4,0,2,0,2,0
Category,com.sample.category.config,JacksonConfiguration,0,23,0,0,0,6,0,6,0,6
Category,com.sample.category.config,CacheConfiguration,150,164,7,3,28,36,8,8,4,7
Category,com.sample.category.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Category,com.sample.category.config,FeignConfiguration,0,5,0,0,0,2,0,2,0,2
Category,com.sample.category.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
Category,com.sample.category.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Category,com.sample.category.config,SecurityConfiguration,0,121,0,0,0,38,0,4,0,4
Category,com.sample.category.config,LiquibaseConfiguration,4,91,1,1,1,21,1,2,0,2
Category,com.sample.category.security,SpringSecurityAuditorAware,5,3,0,0,1,1,1,1,1,1
Category,com.sample.category.security,SecurityUtils,89,0,14,0,22,0,15,0,8,0
Category,com.sample.category.client,UserFeignClientInterceptor,27,3,0,0,3,1,2,1,2,1
Category,com.sample.category.security.jwt,TokenProvider,118,59,3,1,32,15,5,2,3,2
Category,com.sample.category.security.jwt,JWTFilter,21,30,6,2,3,11,4,3,0,3
Category,com.sample.category.security.jwt,JWTConfigurer,0,18,0,0,0,6,0,2,0,2
Category,com.sample.category,CategoryApp,122,24,12,2,27,8,9,3,2,3
Category,com.sample.category,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Category,com.sample.category.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
Category,com.sample.category.web.rest.errors,ErrorConstants,0,7,0,0,0,2,0,1,0,1
Category,com.sample.category.web.rest.errors,BadRequestAlertException,0,54,0,0,0,12,0,5,0,5
Category,com.sample.category.web.rest.errors,ExceptionTranslator,145,210,11,11,35,50,13,10,5,7
Category,com.sample.category.domain,Category_,3,0,0,0,1,0,1,0,1,0
Category,com.sample.category.domain,AbstractAuditingEntity,37,0,0,0,17,0,9,0,9,0
Category,com.sample.category.domain,Category,48,34,8,0,10,14,7,9,3,9
Category,com.sample.category.domain,AbstractAuditingEntity_,3,0,0,0,1,0,1,0,1,0
Category,com.sample.category.domain,PersistentAuditEvent,87,8,8,0,22,2,17,1,13,1
Category,com.sample.category.domain,PersistentAuditEvent_,3,0,0,0,1,0,1,0,1,0
Category,com.sample.category.service.dto,CategoryDTO,48,24,8,0,10,10,7,7,3,7
Category,com.sample.category.service.impl,CategoryServiceImpl,0,83,0,0,0,19,0,5,0,5
Category,com.sample.category.aop.logging,LoggingAspect,116,0,10,0,27,0,11,0,6,0
